iter	Passed	Remaining
457	813	963
458	815	960
459	816	958
460	818	956
461	819	953
462	820	951
463	821	949
464	823	946
465	824	944
466	825	942
467	826	939
468	827	937
469	829	934
470	830	932
471	832	930
472	833	928
473	834	926
474	836	924
475	837	922
476	839	920
477	840	917
478	841	915
479	843	913
480	844	911
481	846	909
482	847	907
483	848	905
484	850	902
485	851	900
486	853	898
487	854	896
488	855	894
489	857	892
490	858	889
491	859	887
492	861	885
493	862	883
494	864	881
495	865	879
496	866	877
497	868	875
498	869	873
499	871	871
500	872	869
501	873	866
502	875	864
503	876	862
504	877	860
505	879	858
506	880	856
507	882	854
508	883	852
509	884	850
510	886	848
511	887	845
512	888	843
513	889	841
514	891	839
515	892	837
516	893	834
517	894	832
518	895	830
519	897	828
520	898	826
521	900	824
522	901	822
523	902	819
524	903	817
525	905	815
526	906	813
527	907	811
528	908	809
529	910	807
530	911	805
531	912	803
532	914	801
533	915	798
534	916	796
535	917	794
536	919	792
537	920	790
538	921	788
539	922	786
540	924	784
541	926	782
542	927	780
543	928	778
544	930	776
545	931	774
546	932	772
547	933	770
548	934	768
549	936	765
550	937	763
551	938	761
552	939	759
553	941	757
554	942	755
555	943	753
556	944	751
557	946	749
558	947	747
559	948	745
560	950	743
561	951	741
562	952	739
563	953	737
564	955	735
565	956	733
566	957	731
567	959	729
568	960	727
569	961	725
570	963	723
571	964	721
572	966	720
573	968	718
574	969	716
575	970	714
576	972	712
577	973	710
578	974	708
579	975	706
580	976	704
581	978	702
582	979	700
583	980	698
584	982	696
585	983	694
586	984	692
587	985	690
588	987	688
589	988	686
590	989	685
591	991	682
592	992	681
593	993	679
594	994	677
595	996	675
596	997	673
597	998	671
598	1000	669
599	1001	667
600	1002	665
601	1003	663
602	1005	661
603	1006	659
604	1007	657
605	1008	655
606	1010	654
607	1011	652
608	1012	650
609	1013	648
610	1015	646
611	1016	644
612	1017	642
613	1019	640
614	1020	638
615	1021	636
616	1022	634
617	1024	633
618	1025	631
619	1026	629
620	1028	627
621	1029	625
622	1030	623
623	1031	621
624	1033	619
625	1034	617
626	1035	616
627	1036	614
628	1038	612
629	1039	610
630	1040	608
631	1042	606
632	1043	605
633	1044	603
634	1046	601
635	1047	599
636	1048	597
637	1049	595
638	1051	593
639	1052	591
640	1053	590
641	1054	588
642	1056	586
643	1057	584
644	1058	582
645	1059	580
646	1061	578
647	1062	577
648	1063	575
649	1064	573
650	1066	571
651	1067	569
652	1068	568
653	1070	566
654	1071	564
655	1072	562
656	1073	560
657	1075	558
658	1076	556
659	1077	555
660	1078	553
661	1080	551
662	1081	549
663	1082	547
664	1084	546
665	1085	544
666	1086	542
667	1087	540
668	1088	538
669	1090	536
670	1091	535
671	1092	533
672	1094	531
673	1095	529
674	1096	528
675	1098	526
676	1099	524
677	1100	522
678	1101	520
679	1103	519
680	1104	517
681	1105	515
682	1107	513
683	1108	512
684	1109	510
685	1111	508
686	1112	506
687	1113	504
688	1114	503
689	1116	501
690	1117	499
691	1118	497
692	1119	496
693	1121	494
694	1122	492
695	1123	490
696	1124	489
697	1126	487
698	1127	485
699	1128	483
700	1130	481
701	1131	480
702	1132	478
703	1134	477
704	1135	475
705	1137	473
706	1138	471
707	1139	469
708	1140	468
709	1141	466
710	1143	464
711	1144	462
712	1145	461
713	1147	459
714	1148	457
715	1149	456
716	1151	454
717	1152	452
718	1153	450
719	1154	449
720	1155	447
721	1157	445
722	1158	443
723	1160	442
724	1162	440
725	1164	439
726	1166	437
727	1167	436
728	1168	434
729	1169	432
730	1171	431
731	1172	429
732	1173	427
733	1175	426
734	1176	424
735	1178	422
736	1179	420
737	1180	419
738	1181	417
739	1183	415
740	1184	413
741	1185	412
742	1186	410
743	1188	408
744	1189	407
745	1190	405
746	1191	403
747	1193	401
748	1194	400
749	1195	398
750	1196	396
751	1198	395
752	1199	393
753	1200	391
754	1201	389
755	1203	388
756	1204	386
757	1205	384
758	1206	383
759	1208	381
760	1209	379
761	1210	378
762	1211	376
763	1223	378
764	1226	376
765	1230	375
766	1232	374
767	1233	372
768	1236	371
769	1237	369
770	1239	368
771	1241	366
772	1243	365
773	1245	363
774	1248	362
775	1251	361
776	1252	359
777	1253	357
778	1255	356
779	1256	354
780	1258	352
781	1259	351
782	1262	349
783	1263	348
784	1264	346
785	1266	344
786	1267	343
787	1268	341
788	1270	339
789	1271	337
790	1272	336
791	1274	334
792	1275	333
793	1276	331
794	1278	329
795	1279	327
796	1280	326
797	1281	324
798	1283	322
799	1284	321
800	1285	319
801	1287	317
802	1288	316
803	1289	314
804	1290	312
805	1292	310
806	1293	309
807	1294	307
808	1295	305
809	1297	304
810	1298	302
811	1299	300
812	1301	299
813	1302	297
814	1303	295
815	1305	294
816	1306	292
817	1307	290
818	1308	289
819	1310	287
820	1311	285
